ratio_method,ratio_value,IR_original,clf_name,resampling_method,time_ratio,time_sampling,time_model,time_total
Balance,1,0.05,DT,ROS,7.15255737304688E-07,0.000795602798461914,0.00780010223388672,0.00989460945129395
Balance,1,0.05,KNN,ROS,7.15255737304688E-07,0.000652313232421875,0.129981517791748,0.131624460220337
Balance,1,0.05,LR,ROS,7.15255737304688E-07,0.000672340393066406,0.00651025772094727,0.00814628601074219
Balance,1,0.05,svmrbf,ROS,4.76837158203125E-07,0.000613212585449219,0.251529693603516,0.253058910369873
Balance,1,0.05,svmlinear,ROS,4.76837158203125E-07,0.000626087188720703,0.250974893569946,0.252531766891479
Balance,1,0.05,RF,ROS,4.76837158203125E-07,0.000600814819335938,0.173973083496094,0.175478935241699
Balance,1,0.05,MLP,ROS,7.15255737304688E-07,0.000539779663085938,0.423045158386231,0.424439191818237
Balance,1,0.05,XGB,ROS,1.19209289550781E-06,0.00124406814575195,0.189848184585571,0.192927122116089
Balance,1,0.05,DT,RUS,7.15255737304688E-07,0.00104880332946777,0.00679421424865723,0.00944781303405762
Balance,1,0.05,KNN,RUS,9.5367431640625E-07,0.000812768936157227,0.0553703308105469,0.0573539733886719
Balance,1,0.05,LR,RUS,7.15255737304688E-07,0.000833511352539063,0.00709056854248047,0.00910234451293945
Balance,1,0.05,svmrbf,RUS,9.5367431640625E-07,0.000824689865112305,0.0104911327362061,0.012486457824707
Balance,1,0.05,svmlinear,RUS,7.15255737304688E-07,0.000855684280395508,0.0079951286315918,0.0102412700653076
Balance,1,0.05,RF,RUS,7.15255737304688E-07,0.000795364379882813,0.10830283164978,0.110276222229004
Balance,1,0.05,MLP,RUS,4.76837158203125E-07,0.000718832015991211,0.062441349029541,0.0641970634460449
Balance,1,0.05,XGB,RUS,9.5367431640625E-07,0.00117635726928711,0.112137079238892,0.115003108978271
Balance,1,0.05,DT,ADASYN,9.5367431640625E-07,0.00298881530761719,0.0117735862731934,0.0162656307220459
Balance,1,0.05,KNN,ADASYN,7.15255737304688E-07,0.00239872932434082,0.150445222854614,0.153959274291992
Balance,1,0.05,LR,ADASYN,4.76837158203125E-07,0.00202131271362305,0.00704789161682129,0.0100927352905273
Balance,1,0.05,svmrbf,ADASYN,7.15255737304688E-07,0.00199556350708008,0.268736839294434,0.271682024002075
Balance,1,0.05,svmlinear,ADASYN,7.15255737304688E-07,0.00200366973876953,0.229036808013916,0.231964826583862
Balance,1,0.05,RF,ADASYN,7.15255737304688E-07,0.0019071102142334,0.223258972167969,0.226061820983887
Balance,1,0.05,MLP,ADASYN,4.76837158203125E-07,0.00172877311706543,0.240617036819458,0.243165731430054
Balance,1,0.05,XGB,ADASYN,1.19209289550781E-06,0.00355029106140137,0.213838815689087,0.21924090385437
Balance,1,0.05,DT,ClusterCentroids,1.19209289550781E-06,0.25654411315918,0.00615382194519043,0.264273643493652
Balance,1,0.05,KNN,ClusterCentroids,7.15255737304688E-07,0.239236354827881,0.0511107444763184,0.291732788085937
Balance,1,0.05,LR,ClusterCentroids,7.15255737304688E-07,0.221932649612427,0.00724363327026367,0.230165958404541
Balance,1,0.05,svmrbf,ClusterCentroids,7.15255737304688E-07,0.225911617279053,0.0118033885955811,0.239006519317627
Balance,1,0.05,svmlinear,ClusterCentroids,9.5367431640625E-07,0.228604078292847,0.00830173492431641,0.237956047058105
Balance,1,0.05,RF,ClusterCentroids,7.15255737304688E-07,0.226624488830566,0.0974485874176025,0.325371026992798
Balance,1,0.05,MLP,ClusterCentroids,4.76837158203125E-07,0.216334342956543,0.139720439910889,0.35700798034668
Balance,1,0.05,XGB,ClusterCentroids,9.5367431640625E-07,0.338063955307007,0.031376838684082,0.371223211288452
Balance,1,0.05,DT,SMOTE,7.15255737304688E-07,0.00169658660888672,0.0116803646087646,0.0147995948791504
Balance,1,0.05,KNN,SMOTE,7.15255737304688E-07,0.00129365921020508,0.143496990203857,0.145859479904175
Balance,1,0.05,LR,SMOTE,4.76837158203125E-07,0.00108790397644043,0.0068359375,0.00885891914367676
Balance,1,0.05,svmrbf,SMOTE,7.15255737304688E-07,0.00116062164306641,0.244848966598511,0.24697732925415
Balance,1,0.05,svmlinear,SMOTE,4.76837158203125E-07,0.00110936164855957,0.263211965560913,0.265246629714966
Balance,1,0.05,RF,SMOTE,4.76837158203125E-07,0.00111508369445801,0.218342542648315,0.220331907272339
Balance,1,0.05,MLP,SMOTE,4.76837158203125E-07,0.000979185104370117,0.219902038574219,0.221707344055176
Balance,1,0.05,XGB,SMOTE,7.15255737304688E-07,0.00209832191467285,0.217678546905518,0.221612453460693
Balance,1,0.05,DT,SMOTEENN,7.15255737304688E-07,0.0108790397644043,0.00823402404785156,0.0207605361938477
Balance,1,0.05,KNN,SMOTEENN,7.15255737304688E-07,0.00861382484436035,0.135494709014893,0.145249605178833
Balance,1,0.05,LR,SMOTEENN,7.15255737304688E-07,0.00763344764709473,0.00696229934692383,0.0155942440032959
Balance,1,0.05,svmrbf,SMOTEENN,9.5367431640625E-07,0.00736641883850098,0.128952980041504,0.137259244918823
Balance,1,0.05,svmlinear,SMOTEENN,4.76837158203125E-07,0.00708246231079102,0.142336368560791,0.150376319885254
Balance,1,0.05,RF,SMOTEENN,4.76837158203125E-07,0.00684976577758789,0.17210054397583,0.179861545562744
Balance,1,0.05,MLP,SMOTEENN,4.76837158203125E-07,0.00632476806640625,0.160416841506958,0.167562484741211
Balance,1,0.05,XGB,SMOTEENN,7.15255737304688E-07,0.0125226974487305,0.153908252716064,0.168197631835938
Balance,1,0.05,DT,SMOTETomek,9.5367431640625E-07,0.0093379020690918,0.0102026462554932,0.0210003852844238
Balance,1,0.05,KNN,SMOTETomek,1.19209289550781E-06,0.00758624076843262,0.144948720932007,0.153681516647339
Balance,1,0.05,LR,SMOTETomek,4.76837158203125E-07,0.00658488273620606,0.00720691680908203,0.0147860050201416
Balance,1,0.05,svmrbf,SMOTETomek,7.15255737304688E-07,0.00650286674499512,0.213398456573486,0.220835447311401
Balance,1,0.05,svmlinear,SMOTETomek,4.76837158203125E-07,0.00622439384460449,0.216682195663452,0.223838090896606
Balance,1,0.05,RF,SMOTETomek,4.76837158203125E-07,0.0059514045715332,0.207917213439941,0.214829206466675
Balance,1,0.05,MLP,SMOTETomek,4.76837158203125E-07,0.00562787055969238,0.264294624328613,0.270755767822266
Balance,1,0.05,XGB,SMOTETomek,1.19209289550781E-06,0.0128734111785889,0.179635763168335,0.194356918334961
NoSampling,0,0.05,DT,ROS,1.43051147460938E-06,2.38418579101562E-07,0.0105221271514893,0.0121510028839111
NoSampling,0,0.05,KNN,ROS,9.5367431640625E-07,2.38418579101562E-07,0.10696291923523,0.108153820037842
NoSampling,0,0.05,LR,ROS,4.76837158203125E-07,0,0.00823640823364258,0.00931406021118164
NoSampling,0,0.05,svmrbf,ROS,4.76837158203125E-07,2.38418579101562E-07,0.0527820587158203,0.0538413524627686
NoSampling,0,0.05,svmlinear,ROS,4.76837158203125E-07,2.38418579101562E-07,0.0160090923309326,0.016998291015625
NoSampling,0,0.05,RF,ROS,9.5367431640625E-07,2.38418579101562E-07,0.161893844604492,0.162813186645508
NoSampling,0,0.05,MLP,ROS,7.15255737304688E-07,0,0.148741722106934,0.149611711502075
NoSampling,0,0.05,XGB,ROS,7.15255737304688E-07,2.38418579101562E-07,0.135222911834717,0.136958122253418
NoSampling,0,0.05,DT,RUS,9.5367431640625E-07,2.38418579101562E-07,0.00974583625793457,0.011204719543457
NoSampling,0,0.05,KNN,RUS,4.76837158203125E-07,2.38418579101562E-07,0.101912498474121,0.103002309799194
NoSampling,0,0.05,LR,RUS,7.15255737304688E-07,2.38418579101562E-07,0.00828266143798828,0.00930953025817871
NoSampling,0,0.05,svmrbf,RUS,4.76837158203125E-07,2.38418579101562E-07,0.051349401473999,0.052356481552124
NoSampling,0,0.05,svmlinear,RUS,7.15255737304688E-07,2.38418579101562E-07,0.015526294708252,0.0164985656738281
NoSampling,0,0.05,RF,RUS,4.76837158203125E-07,2.38418579101562E-07,0.15774416923523,0.158666133880615
NoSampling,0,0.05,MLP,RUS,9.5367431640625E-07,2.38418579101562E-07,0.145157098770142,0.146056652069092
NoSampling,0,0.05,XGB,RUS,7.15255737304688E-07,4.76837158203125E-07,0.159395217895508,0.161054372787476
NoSampling,0,0.05,DT,ADASYN,4.76837158203125E-07,2.38418579101562E-07,0.00943112373352051,0.0108463764190674
NoSampling,0,0.05,KNN,ADASYN,9.5367431640625E-07,2.38418579101562E-07,0.0988945960998535,0.0999014377593994
NoSampling,0,0.05,LR,ADASYN,7.15255737304688E-07,2.38418579101562E-07,0.00747203826904297,0.00844907760620117
NoSampling,0,0.05,svmrbf,ADASYN,4.76837158203125E-07,2.38418579101562E-07,0.0499386787414551,0.0508966445922852
NoSampling,0,0.05,svmlinear,ADASYN,2.38418579101562E-07,2.38418579101562E-07,0.0150353908538818,0.0159614086151123
NoSampling,0,0.05,RF,ADASYN,4.76837158203125E-07,2.38418579101562E-07,0.152358055114746,0.153241634368896
NoSampling,0,0.05,MLP,ADASYN,4.76837158203125E-07,2.38418579101562E-07,0.142152547836304,0.142986536026001
