ratio_method,ratio_value,IR_original,clf_name,resampling_method,time_ratio,time_sampling,time_model,time_total
HARS,0,0.01,KNN,SMOTETomek,1.23151540756226,2.38418579101562E-07,0.0753099918365479,1.30768513679504
HARS,0,0.01,LR,SMOTETomek,1.02705669403076,2.38418579101562E-07,0.00814938545227051,1.03601241111755
HARS,0,0.01,svmrbf,SMOTETomek,1.06905961036682,2.38418579101562E-07,0.0178561210632324,1.08774995803833
HARS,0,0.01,svmlinear,SMOTETomek,1.05868530273438,2.38418579101562E-07,0.00563120841979981,1.06516218185425
HARS,0,0.01,RF,SMOTETomek,1.10573816299438,2.38418579101562E-07,0.102388143539429,1.20897960662842
HARS,0,0.01,MLP,SMOTETomek,1.46227645874023,2.38418579101562E-07,0.244253158569336,1.70734238624573
HARS,0,0.01,XGB,SMOTETomek,1.22903871536255,2.38418579101562E-07,0.0261592864990234,1.2569739818573
Balance,1,0.01,DT,ROS,7.15255737304688E-07,0.000838756561279297,0.00585341453552246,0.00783586502075195
Balance,1,0.01,KNN,ROS,4.76837158203125E-07,0.000581502914428711,0.121372699737549,0.122806072235107
Balance,1,0.01,LR,ROS,4.76837158203125E-07,0.000543594360351563,0.00815725326538086,0.00948476791381836
Balance,1,0.01,svmrbf,ROS,2.38418579101562E-07,0.000536203384399414,0.0150701999664307,0.016395092010498
Balance,1,0.01,svmlinear,ROS,4.76837158203125E-07,0.000558137893676758,0.00552201271057129,0.00689959526062012
Balance,1,0.01,RF,ROS,7.15255737304688E-07,0.000532150268554688,0.10749888420105,0.108809232711792
Balance,1,0.01,MLP,ROS,7.15255737304688E-07,0.000539541244506836,0.167110919952393,0.168431520462036
Balance,1,0.01,XGB,ROS,9.5367431640625E-07,0.00114917755126953,0.109522342681885,0.112326383590698
Balance,1,0.01,DT,RUS,7.15255737304688E-07,0.00095820426940918,0.00627684593200684,0.00867295265197754
Balance,1,0.01,KNN,RUS,4.76837158203125E-07,0.000756740570068359,0.0433444976806641,0.0451507568359375
Balance,1,0.01,LR,RUS,4.76837158203125E-07,0.000783443450927734,0.00655198097229004,0.00832605361938477
Balance,1,0.01,svmrbf,RUS,4.76837158203125E-07,0.000724315643310547,0.00519227981567383,0.00692152976989746
Balance,1,0.01,svmlinear,RUS,7.15255737304688E-07,0.00071263313293457,0.00478601455688477,0.00647783279418945
Balance,1,0.01,RF,RUS,7.15255737304688E-07,0.000690221786499023,0.0898969173431397,0.0915510654449463
Balance,1,0.01,MLP,RUS,4.76837158203125E-07,0.000654697418212891,0.0103168487548828,0.0118803977966309
Balance,1,0.01,XGB,RUS,7.15255737304688E-07,0.000991344451904297,0.0630950927734375,0.0654959678649902
Balance,1,0.01,DT,ADASYN,7.15255737304688E-07,0.00264430046081543,0.00777101516723633,0.0116627216339111
Balance,1,0.01,KNN,ADASYN,9.5367431640625E-07,0.00241851806640625,0.140490055084229,0.144113540649414
Balance,1,0.01,LR,ADASYN,4.76837158203125E-07,0.00170421600341797,0.00859713554382324,0.0112271308898926
Balance,1,0.01,svmrbf,ADASYN,7.15255737304688E-07,0.00160884857177734,0.0160508155822754,0.0185496807098389
Balance,1,0.01,svmlinear,ADASYN,4.76837158203125E-07,0.00159883499145508,0.00970602035522461,0.0121927261352539
Balance,1,0.01,RF,ADASYN,4.76837158203125E-07,0.00158548355102539,0.127750635147095,0.130196094512939
Balance,1,0.01,MLP,ADASYN,4.76837158203125E-07,0.00163054466247559,0.205018043518066,0.207523345947266
Balance,1,0.01,XGB,ADASYN,7.15255737304688E-07,0.0028526782989502,0.133868217468262,0.138468265533447
Balance,1,0.01,DT,ClusterCentroids,9.5367431640625E-07,0.319647073745728,0.00628805160522461,0.327465534210205
Balance,1,0.01,KNN,ClusterCentroids,1.19209289550781E-06,0.0528476238250732,0.0459904670715332,0.100233316421509
Balance,1,0.01,LR,ClusterCentroids,7.15255737304688E-07,0.0635907649993897,0.00759053230285645,0.0721690654754639
Balance,1,0.01,svmrbf,ClusterCentroids,4.76837158203125E-07,0.0496478080749512,0.0064697265625,0.0573208332061768
Balance,1,0.01,svmlinear,ClusterCentroids,7.15255737304688E-07,0.0594055652618408,0.00567269325256348,0.0663385391235352
Balance,1,0.01,RF,ClusterCentroids,4.76837158203125E-07,0.0494027137756348,0.0926799774169922,0.143333911895752
Balance,1,0.01,MLP,ClusterCentroids,4.76837158203125E-07,0.153667688369751,0.0166594982147217,0.171263694763184
Balance,1,0.01,XGB,ClusterCentroids,4.76837158203125E-07,0.132667064666748,0.0167527198791504,0.150739669799805
Balance,1,0.01,DT,SMOTE,9.5367431640625E-07,0.00147652626037598,0.00697207450866699,0.0096735954284668
Balance,1,0.01,KNN,SMOTE,9.5367431640625E-07,0.00113439559936523,0.137020587921143,0.139102697372437
Balance,1,0.01,LR,SMOTE,4.76837158203125E-07,0.000973701477050781,0.00896072387695313,0.0108575820922852
Balance,1,0.01,svmrbf,SMOTE,4.76837158203125E-07,0.000967502593994141,0.0161540508270264,0.0180015563964844
Balance,1,0.01,svmlinear,SMOTE,7.15255737304688E-07,0.00107026100158691,0.00693249702453613,0.00898838043212891
Balance,1,0.01,RF,SMOTE,4.76837158203125E-07,0.000999689102172852,0.127299547195435,0.129149436950684
Balance,1,0.01,MLP,SMOTE,2.38418579101562E-07,0.000884771347045898,0.677133321762085,0.678860664367676
Balance,1,0.01,XGB,SMOTE,9.5367431640625E-07,0.00201821327209473,0.103886604309082,0.107757568359375
Balance,1,0.01,DT,SMOTEENN,9.5367431640625E-07,0.00868058204650879,0.00658917427062988,0.0167720317840576
Balance,1,0.01,KNN,SMOTEENN,7.15255737304688E-07,0.00699257850646973,0.169783592224121,0.17787766456604
Balance,1,0.01,LR,SMOTEENN,7.15255737304688E-07,0.00705552101135254,0.0114665031433105,0.0196731090545654
Balance,1,0.01,svmrbf,SMOTEENN,4.52995300292969E-06,0.00691080093383789,0.0303924083709717,0.0384697914123535
Balance,1,0.01,svmlinear,SMOTEENN,7.15255737304688E-07,0.00702118873596191,0.00739192962646484,0.0155889987945557
Balance,1,0.01,RF,SMOTEENN,9.5367431640625E-07,0.00703692436218262,0.150749206542969,0.158929109573364
Balance,1,0.01,MLP,SMOTEENN,4.76837158203125E-07,0.00617647171020508,0.161342620849609,0.168529987335205
Balance,1,0.01,XGB,SMOTEENN,9.5367431640625E-07,0.00982379913330078,0.108866453170776,0.120425462722778
Balance,1,0.01,DT,SMOTETomek,9.5367431640625E-07,0.00850367546081543,0.00662636756896973,0.0166354179382324
Balance,1,0.01,KNN,SMOTETomek,7.15255737304688E-07,0.00657272338867188,0.153830766677856,0.161597728729248
Balance,1,0.01,LR,SMOTETomek,4.76837158203125E-07,0.00572896003723145,0.00948929786682129,0.0162570476531982
Balance,1,0.01,svmrbf,SMOTETomek,4.76837158203125E-07,0.00540971755981445,0.0212652683258057,0.027634859085083
Balance,1,0.01,svmlinear,SMOTETomek,4.76837158203125E-07,0.00534653663635254,0.0059351921081543,0.0122025012969971
Balance,1,0.01,RF,SMOTETomek,4.76837158203125E-07,0.00533699989318848,0.124344110488892,0.130577802658081
Balance,1,0.01,MLP,SMOTETomek,7.15255737304688E-07,0.00496244430541992,0.16727352142334,0.173083543777466
Balance,1,0.01,XGB,SMOTETomek,1.19209289550781E-06,0.00986123085021973,0.103390455245972,0.114934682846069
NoSampling,0,0.01,DT,ROS,4.76837158203125E-07,2.38418579101562E-07,0.00827121734619141,0.00970053672790527
NoSampling,0,0.01,KNN,ROS,4.76837158203125E-07,2.38418579101562E-07,0.100226640701294,0.101287364959717
NoSampling,0,0.01,LR,ROS,4.76837158203125E-07,4.76837158203125E-07,0.00929999351501465,0.0102837085723877
NoSampling,0,0.01,svmrbf,ROS,4.76837158203125E-07,2.38418579101562E-07,0.0219457149505615,0.0228879451751709
NoSampling,0,0.01,svmlinear,ROS,4.76837158203125E-07,4.76837158203125E-07,0.00638294219970703,0.0073847770690918
NoSampling,0,0.01,RF,ROS,4.76837158203125E-07,2.38418579101562E-07,0.115184307098389,0.116153955459595
NoSampling,0,0.01,MLP,ROS,4.76837158203125E-07,2.38418579101562E-07,0.24345326423645,0.244320154190063
NoSampling,0,0.01,XGB,ROS,9.5367431640625E-07,4.76837158203125E-07,0.105104684829712,0.106859922409058
NoSampling,0,0.01,DT,RUS,7.15255737304688E-07,2.38418579101562E-07,0.00868368148803711,0.0101790428161621
NoSampling,0,0.01,KNN,RUS,4.76837158203125E-07,4.76837158203125E-07,0.105768442153931,0.106908321380615
NoSampling,0,0.01,LR,RUS,7.15255737304688E-07,2.38418579101562E-07,0.00978827476501465,0.0108349323272705
NoSampling,0,0.01,svmrbf,RUS,7.15255737304688E-07,0,0.0220072269439697,0.0230729579925537
NoSampling,0,0.01,svmlinear,RUS,4.76837158203125E-07,2.38418579101562E-07,0.00663399696350098,0.00760936737060547
NoSampling,0,0.01,RF,RUS,7.15255737304688E-07,2.38418579101562E-07,0.118535041809082,0.119571685791016
NoSampling,0,0.01,MLP,RUS,4.76837158203125E-07,2.38418579101562E-07,0.247521638870239,0.248470544815063
NoSampling,0,0.01,XGB,RUS,7.15255737304688E-07,7.15255737304688E-07,0.0411062240600586,0.042891263961792
NoSampling,0,0.01,DT,ADASYN,1.19209289550781E-06,4.76837158203125E-07,0.0206770896911621,0.0229825973510742
NoSampling,0,0.01,KNN,ADASYN,7.15255737304688E-07,4.76837158203125E-07,0.111499786376953,0.113261938095093
NoSampling,0,0.01,LR,ADASYN,4.76837158203125E-07,2.38418579101562E-07,0.0100688934326172,0.0110945701599121
NoSampling,0,0.01,svmrbf,ADASYN,7.15255737304688E-07,2.38418579101562E-07,0.0232405662536621,0.0243237018585205
NoSampling,0,0.01,svmlinear,ADASYN,9.5367431640625E-07,2.38418579101562E-07,0.00674128532409668,0.00781869888305664
NoSampling,0,0.01,RF,ADASYN,7.15255737304688E-07,2.38418579101562E-07,0.125481128692627,0.126504421234131
NoSampling,0,0.01,MLP,ADASYN,9.5367431640625E-07,0,0.245739459991455,0.246710538864136
NoSampling,0,0.01,XGB,ADASYN,9.5367431640625E-07,4.76837158203125E-07,0.104643821716309,0.106394529342651
NoSampling,0,0.01,DT,ClusterCentroids,7.15255737304688E-07,2.38418579101562E-07,0.00851988792419434,0.0100114345550537
NoSampling,0,0.01,KNN,ClusterCentroids,7.15255737304688E-07,2.38418579101562E-07,0.107118606567383,0.108230352401733
NoSampling,0,0.01,LR,ClusterCentroids,4.76837158203125E-07,2.38418579101562E-07,0.00961518287658691,0.0107417106628418
NoSampling,0,0.01,svmrbf,ClusterCentroids,7.15255737304688E-07,2.38418579101562E-07,0.0223848819732666,0.0234324932098389
NoSampling,0,0.01,svmlinear,ClusterCentroids,4.76837158203125E-07,0,0.00653481483459473,0.00750541687011719
NoSampling,0,0.01,RF,ClusterCentroids,4.76837158203125E-07,4.76837158203125E-07,0.119340896606445,0.120322227478027
NoSampling,0,0.01,MLP,ClusterCentroids,2.38418579101562E-07,2.38418579101562E-07,0.245007514953613,0.245907783508301
NoSampling,0,0.01,XGB,ClusterCentroids,7.15255737304688E-07,2.38418579101562E-07,0.0945506095886231,0.0963006019592285
NoSampling,0,0.01,DT,SMOTE,4.76837158203125E-07,4.76837158203125E-06,0.00869226455688477,0.0101370811462402
NoSampling,0,0.01,KNN,SMOTE,4.76837158203125E-07,2.38418579101562E-07,0.106517553329468,0.107622146606445
NoSampling,0,0.01,LR,SMOTE,7.15255737304688E-07,0,0.00982356071472168,0.0108621120452881
NoSampling,0,0.01,svmrbf,SMOTE,4.76837158203125E-07,0,0.0222916603088379,0.0233545303344727
NoSampling,0,0.01,svmlinear,SMOTE,2.38418579101562E-07,2.38418579101562E-07,0.00660347938537598,0.00755620002746582
NoSampling,0,0.01,RF,SMOTE,9.5367431640625E-07,0,0.121100187301636,0.122054100036621
NoSampling,0,0.01,MLP,SMOTE,7.15255737304688E-07,0,0.254515171051025,0.25544285774231
NoSampling,0,0.01,XGB,SMOTE,1.43051147460938E-06,4.76837158203125E-07,0.0415980815887451,0.0434329509735107
NoSampling,0,0.01,DT,SMOTEENN,4.76837158203125E-07,4.76837158203125E-07,0.021005392074585,0.0242264270782471
NoSampling,0,0.01,KNN,SMOTEENN,4.76837158203125E-07,2.38418579101562E-07,0.111372709274292,0.113147974014282
NoSampling,0,0.01,LR,SMOTEENN,4.76837158203125E-07,2.38418579101562E-07,0.0100288391113281,0.0110962390899658
NoSampling,0,0.01,svmrbf,SMOTEENN,7.15255737304688E-07,2.38418579101562E-07,0.023550271987915,0.024655818939209
NoSampling,0,0.01,svmlinear,SMOTEENN,4.76837158203125E-07,2.38418579101562E-07,0.00692820549011231,0.00794386863708496
NoSampling,0,0.01,RF,SMOTEENN,1.04904174804688E-05,2.38418579101562E-07,0.123850107192993,0.124874114990234
NoSampling,0,0.01,MLP,SMOTEENN,4.76837158203125E-07,4.76837158203125E-07,0.250415802001953,0.251419544219971
NoSampling,0,0.01,XGB,SMOTEENN,9.5367431640625E-07,2.38418579101562E-07,0.112286567687988,0.114062070846558
NoSampling,0,0.01,DT,SMOTETomek,7.15255737304688E-07,4.76837158203125E-07,0.00851011276245117,0.00996518135070801
NoSampling,0,0.01,KNN,SMOTETomek,4.76837158203125E-07,2.38418579101562E-07,0.106770277023315,0.107876062393188
NoSampling,0,0.01,LR,SMOTETomek,4.76837158203125E-07,2.38418579101562E-07,0.0095369815826416,0.0105447769165039
NoSampling,0,0.01,svmrbf,SMOTETomek,7.15255737304688E-07,2.38418579101562E-07,0.0222635269165039,0.0232641696929932
NoSampling,0,0.01,svmlinear,SMOTETomek,4.76837158203125E-07,4.76837158203125E-07,0.00662851333618164,0.00761961936950684
NoSampling,0,0.01,RF,SMOTETomek,4.76837158203125E-07,2.38418579101562E-07,0.120515823364258,0.121521949768066
NoSampling,0,0.01,MLP,SMOTETomek,9.5367431640625E-07,2.38418579101562E-07,0.243416309356689,0.244359016418457
NoSampling,0,0.01,XGB,SMOTETomek,9.5367431640625E-07,4.76837158203125E-07,0.111760854721069,0.113493919372559
Op,0.151666666666667,0.01,DT,ROS,0.00392746925354004,0.000974416732788086,0.00822305679321289,0.0146780014038086
Op,0.151666666666667,0.01,KNN,ROS,0.00301408767700195,0.000808238983154297,0.113422870635986,0.118402481079102
Op,0.151666666666667,0.01,LR,ROS,0.00282120704650879,0.000680446624755859,0.00984525680541992,0.0143904685974121
Op,0.151666666666667,0.01,svmrbf,ROS,0.00264978408813477,0.000664472579956055,0.01485276222229,0.0191359519958496
Op,0.151666666666667,0.01,svmlinear,ROS,0.00259232521057129,0.000649452209472656,0.00707054138183594,0.0113077163696289
Op,0.151666666666667,0.01,RF,ROS,0.00252246856689453,0.000667095184326172,0.123989582061768,0.128104448318481
Op,0.151666666666667,0.01,MLP,ROS,0.00232815742492676,0.000593662261962891,0.125025272369385,0.12878680229187
